tweet_ids	center_id
[793909545445822465]	793909545445822465
[793909472087285760]	793909472087285760
[793909457889685504]	793909457889685504
[793909431675142144]	793909431675142144
[793909352998531073]	793909352998531073
[793909296979447808]	793909296979447808
[793909192142782465]	793909192142782465
[793909177617879040]	793909177617879040
[793909161138552833]	793909161138552833
[793909154880577536]	793909154880577536
[793909116011945984]	793909116011945984
[793909114627842052]	793909114627842052
[793909068628946944]	793909068628946944
[793909040690724864]	793909040690724864
[793908987418800128]	793908987418800128
[793908963347668992]	793908963347668992
[793908938328547328]	793908938328547328
[793908934667034624]	793908934667034624
[793908928753041408]	793908928753041408
[793908925536043008]	793908925536043008
[793908914962259972]	793908914962259972
[793908874516365312]	793908874516365312
[793908856011259904]	793908856011259904
[793908823002079233]	793908823002079233
[793908811446747137]	793908811446747137
[793908738914709504]	793908738914709504
[793908719310540800]	793908719310540800
[793908705762873346]	793908705762873346
[793908592051118080]	793908592051118080
[793908554512134150]	793908554512134150
[793908501038960642]	793908501038960642
[793908469267066880]	793908469267066880
[793908468755402753]	793908468755402753
[793908432692731904]	793908432692731904
[793908414518796288]	793908414518796288
[793908399045914624]	793908399045914624
[793908374442217472]	793908374442217472
[793908351755284480]	793908351755284480
[793908345870618624]	793908345870618624
[793908301360758785]	793908301360758785
[793908249653186560]	793908249653186560
[793908216216358912]	793908216216358912
[793908159714828288]	793908159714828288
[793908142425923584]	793908142425923584
[793908133911560196]	793908133911560196
[793908082497691649]	793908082497691649
[793908078576017408]	793908078576017408
[793908052156178433]	793908052156178433
[793908040722415617]	793908040722415617
[793908037077565440]	793908037077565440
[793908036414935040]	793908036414935040
[793908023559213056]	793908023559213056
[793908012171788288]	793908012171788288
[793907977803759616]	793907977803759616
[793907958627328001]	793907958627328001
[793907931905392641]	793907931905392641
[793907929229524992]	793907929229524992
[793907906525728768]	793907906525728768
[793907901286981632]	793907901286981632
[793907820877885444]	793907820877885444
[793907817660968960]	793907817660968960
[793907776502235138]	793907776502235138
[793907763994828800]	793907763994828800
[793907749402841092]	793907749402841092
[793907734223650816]	793907734223650816
[793907692242894848]	793907692242894848
[793907665802067973]	793907665802067973
[793907656712781824]	793907656712781824
[793907643219836928]	793907643219836928
[793907625473798144]	793907625473798144
[793907600026923009]	793907600026923009
[793907592070361090]	793907592070361090
[793907569559560192]	793907569559560192
[793907537561133057]	793907537561133057
[793907528832868357]	793907528832868357
[793907505768329216]	793907505768329216
[793907501859213312]	793907501859213312
[793907494850596864]	793907494850596864
[793907474701115394]	793907474701115394
[793907431793430532]	793907431793430532
[793907418216468481]	793907418216468481
[793907411505418241]	793907411505418241
[793907400097067009]	793907400097067009
[793907299903471616]	793907299903471616
[793907285047246848]	793907285047246848
[793907258484604928]	793907258484604928
[793907245180293120]	793907245180293120
[793907221977526272]	793907221977526272
[793907212351508480]	793907212351508480
[793907172010754048]	793907172010754048
[793907161868951552]	793907161868951552
[793907143581761537]	793907143581761537
[793907134341734401]	793907134341734401
[793907123386286080]	793907123386286080
[793907107712012288]	793907107712012288
[793907103509405700]	793907103509405700
[793907089240367104]	793907089240367104
[793907084555411456]	793907084555411456
[793907048719286272]	793907048719286272
[793907040460627968]	793907040460627968
[793906995145342976]	793906995145342976
[793906967706234880]	793906967706234880
[793906959007289345]	793906959007289345
[793906957463613440]	793906957463613440
[793906917001297921]	793906917001297921
[793906910219079680]	793906910219079680
[793909070495219712, 793908677946314752]	793909070495219712
[793908601354158080, 793908209098653697]	793908601354158080
[793908377961259008, 793907830856118272]	793908377961259008
[793908873132437505, 793907189245177856]	793908873132437505
[793907594620534784, 793907480040448000]	793907594620534784
[793907170966396928, 793907047746207745]	793907170966396928
[793909425522155521, 793908880954822657]	793909425522155521
[793909402420015104, 793908416557223936]	793909402420015104
[793908176252985344, 793907783624167425]	793908176252985344
[793909295939215360, 793907723314327552, 793907566917120004, 793907276553781248]	793909295939215360
[793908150403334144, 793907934250016770, 793907404438138880, 793907323987173376]	793908150403334144
[793909088719601664, 793907446569955328, 793907413900488705, 793906896377872384]	793909088719601664
[793909518837149696, 793909357608132609, 793908907936772097, 793907859390078982]	793909518837149696
[793909491570008064, 793908999745839109, 793908962131316736, 793908955357609984, 793908639736041472, 793908518558396416, 793908480402784256, 793908463491481600]	793909491570008064
[793908105373417473, 793906922902589440]	793906922902589440
[793908043180367872, 793909319519571968, 793909304759902208, 793909250691063810, 793908939146555392]	793908043180367872
[793907784538583040, 793907038413807617]	793907038413807617
[793909024685223941, 793908102508711936]	793908102508711936
[793908993571721216, 793908467186733057]	793908467186733057
[793907268295204868, 793907465662455808, 793908621780353024, 793907891111624704]	793907465662455808
[793908584484458496, 793908047815073793]	793908047815073793
[793909457986215936, 793908895425105920]	793909457986215936
[793909558754349056, 793909440806195200]	793909440806195200
[793907149063749633, 793909335432761344, 793909143912472576]	793909335432761344
[793908044031754240, 793907005022957570]	793907005022957570
[793907729152765952, 793909199981928450, 793908515450523648, 793908407199727616, 793908313616449536]	793909199981928450
[793909465225564160, 793909010000928773]	793909465225564160
[793909097179602945, 793907138271805440, 793909549753401344, 793908062566412288, 793907908744515585, 793907906240471040]	793907138271805440
[793907434448388096, 793907196627214337]	793907196627214337
[793906972114427907, 793908594815168513, 793907229602766848]	793907229602766848
[793907359437430785, 793908064445489156, 793908920515518465, 793907179145216004]	793907179145216004
[793908906150006785, 793907148279414784]	793907148279414784
[793908326035849216, 793907522172248065]	793907522172248065
[793909293938536449, 793908779154862082]	793908779154862082
[793909094532931584, 793908343970664448]	793908343970664448
[793908155117932545, 793909497303531520, 793909404802383872]	793909404802383872
[793909421546045442, 793907398700326915]	793907398700326915
[793908428120920066, 793907390408196096]	793907390408196096
[793909008574738433, 793908124205748224]	793908124205748224
[793909454089678849, 793908590977421312]	793909454089678849
[793908097290993664, 793908815297208320, 793908197610381312]	793908197610381312
[793907991598796800, 793907972246208512]	793907991598796800
[793908386421145600, 793907146681376771]	793907146681376771
[793907420523266048, 793907172782514177, 793908926609776642, 793907988176125952, 793907803215757312, 793909091877912576, 793907590480691200]	793907988176125952
[793908845408116736, 793907112648773632]	793907112648773632
[793908063673671684, 793907630557261828, 793906916342644736, 793907376466358272, 793907313665052672, 793906912697778176, 793907856521236480, 793907830352846849, 793907727470845952, 793907601012654082, 793907439196377088, 793907204344672256]	793906912697778176
[793909503196557313, 793909253660635136]	793909253660635136
[793909520892305408, 793908806736551936, 793909371348680704, 793908983958532096, 793907501238484994, 793907426361679872, 793907192948658176, 793906983187320832, 793908090534039552, 793907978709528576, 793907715655335936, 793907597728415744, 793908567749201920, 793908378896564224, 793908371216662528, 793908220897042432]	793909371348680704
[793909242042482688, 793907958388318208]	793907958388318208
[793908117553745921, 793907631345790976]	793907631345790976
[793907125189738496, 793906910718259200]	793906910718259200
[793909488667365376, 793907652967399424]	793909488667365376
[793907285731016705, 793907006939734017]	793907285731016705
[793909453309566978, 793908627006431232]	793908627006431232
[793907575184101376, 793907346162548736]	793907346162548736
[793907187844202496, 793908313947836416, 793907681228619776]	793908313947836416
[793908238563639297, 793906957908402176]	793908238563639297
[793909094004486144, 793906906914033664, 793907756860338176, 793909484548722689, 793908003804184576]	793908003804184576
[793908668781760512, 793908945748430848, 793908480746852352]	793908480746852352
[793908907487944705, 793907914629062657]	793908907487944705
[793907830927593472, 793906972923924480, 793906917240369152]	793906972923924480
[793909101172432896, 793908358164119552]	793909101172432896
[793908712989679618, 793908002038411264]	793908002038411264
[793908803255271427, 793907835788812289]	793908803255271427
[793908293332762624, 793909044918575109, 793907742142566401]	793907742142566401
[793908474786832388, 793907130369794049, 793909556795609090, 793908304124805120]	793908474786832388
[793909302197100544, 793908483917746176, 793907316105973760, 793907317435662336, 793909294689292289, 793907997554667520, 793907624580378629, 793907455747055616]	793909302197100544
[793908355085524992, 793909347050987525, 793907370795626497]	793907370795626497
[793909069589405696, 793908206678347776, 793906923858984960, 793906897107591168, 793907419663433728, 793906992125513729]	793909069589405696
[793909421483098114, 793906952535416833]	793909421483098114
[793907188624297984, 793907070110199808, 793909271499005952, 793907711708696576, 793907347731120132]	793907711708696576
[793908455039987712, 793908223250235392, 793907917342830592, 793907733326168064, 793906973246951424, 793908117687955456, 793907957977194496]	793908455039987712
[793907824782868480, 793909473551286276, 793909296937463811, 793908824671420416, 793908652839239681, 793908278073909248, 793907888989282304, 793908847178022912, 793909358509826048, 793909175919206400, 793909023380766720, 793908942665617408]	793909473551286276
[793906938824114176, 793908852936753152, 793908481434628097, 793907104071446528, 793907025453412353, 793907016414662656, 793907004947456000, 793907004221820928, 793907004091854848, 793906961800540160, 793906950714986496, 793908947807764482, 793908885065203712, 793908660187590657]	793906938824114176
[793908578918727680, 793909450230919168, 793909352973369344]	793909352973369344
[793907775034253312, 793907226196992001]	793907226196992001
[793909295821778944, 793908160260141056]	793909295821778944
[793908652197482496, 793909256206647296, 793908553975201795]	793908652197482496
[793908973338517506, 793909161520205825, 793909122936758272, 793908414669815808, 793906901142601728]	793908973338517506
[793908795835551745, 793908523923017729, 793908312584642560, 793908295207620613, 793908145542328324, 793908022452051968, 793909438558117888, 793908602302042112]	793908795835551745
[793909200074268672, 793907247088705536]	793907247088705536
[793909435500490752, 793909385416368128]	793909435500490752
[793908633687957505, 793907340458229760, 793909522913980416, 793908023811043328, 793907823696605184, 793907661897162752, 793907449073954816, 793907039814569985, 793907074975559680, 793909376901865473, 793907590057037824]	793909522913980416
[793908851783368704, 793908789573513216, 793908389566935040]	793908389566935040
[793908475545944067, 793907372272001025]	793907372272001025
[793908584656543744, 793906877084143616, 793909102548291584, 793908550816952320, 793906877671305217, 793907785150894080, 793907172992229380]	793908550816952320
[793907947852206080, 793908947900039168, 793907716888592384]	793908947900039168
[793909494938042368, 793908665531113478, 793907042637479936]	793909494938042368
[793908926584647680, 793907803819765760]	793908926584647680
[793909352654659585, 793907781359247361]	793909352654659585
[793909239416758272, 793906909988458497]	793906909988458497
[793906962295623680, 793907383223353344, 793909463946240000, 793907398088003584]	793907383223353344
[793909313307807744, 793908478955884544]	793908478955884544
[793908363885248512, 793907358455984129, 793906930918027264, 793909372426551296, 793907331549384704]	793906930918027264
[793907942684782592, 793908409955389440, 793908192648564736]	793908409955389440
[793908678608969729, 793907440802824192, 793908951700168704, 793908646455435265]	793908678608969729
[793909116490186752, 793908036788219905, 793908001316929536, 793907457777098753, 793909198983688192, 793908459846656000]	793908036788219905
[793909188011364353, 793907468556304384]	793909188011364353
[793909258895196161, 793907919850991616]	793909258895196161
[793908929927507971, 793908468918919168, 793909510842748928, 793907962620342274]	793908929927507971
[793907720973852673, 793907906118819840, 793907790259552260, 793908476825174016, 793908406163804160, 793908993014034432, 793907641672163329]	793908993014034432
[793907115974766592, 793908525781114880, 793907315569082368, 793907538077048832, 793909154213720065, 793908441748148224, 793909472452378625, 793907931926372354, 793908227846963201, 793906938652270592, 793907286095831046, 793907958069559296, 793907151236456448, 793907596981833728, 793907443344498688, 793908476464472064, 793908038793035776, 793907041484046336, 793908823744454656, 793907781195759616, 793907356555939840, 793908486522466305, 793907818143354880]	793907041484046336
[793907155690717184, 793908966644445189, 793908642391199744]	793908642391199744
[793908422806757376, 793908168334213120]	793908422806757376
[793909495802003456, 793907822740111360, 793907580905070592]	793907580905070592
[793908263536525312, 793909254814048256, 793908554344329224, 793908538942840832, 793909528714735617, 793908568298778624, 793907516413341700, 793906969316909056]	793909528714735617
[793907352265166852, 793908956888338432, 793906951071485952, 793908458655547392, 793908037010460675, 793908178165661696, 793908107965386752]	793908178165661696
[793908695952490496, 793908670815928320, 793907851785859072]	793907851785859072
[793908890245144576, 793908595695951874]	793908595695951874
[793908964450713600, 793908915595608064]	793908915595608064
[793909050819784704, 793908946398478336, 793907206341156864, 793907198413922304, 793909074341535746, 793908639270576128, 793907498931654656, 793907699096363008, 793907592347152384]	793909050819784704
[793907094130921472, 793908313528365056, 793907753496481793, 793908350597619712, 793908148054724608]	793908148054724608
[793907975521964032, 793907087155888128, 793909394199150592, 793908315143241729, 793908816010035201, 793908673370349568, 793909223549640704, 793908342435569664, 793908201603366912, 793907729781911552, 793907657035943936, 793907507936784384, 793907491147055104, 793906904514854913, 793908260667584512, 793907883289305088]	793909223549640704
[793907182139908100, 793909211033923584, 793908844095242242]	793909211033923584
[793908900907155458, 793908432919203844, 793908357828673536, 793908017691492352]	793908357828673536
[793908482454020096, 793908071701606404, 793907859352326144, 793908252278923264, 793908163267485698, 793907612991488000]	793908252278923264
[793908650834268185, 793907045720260608, 793909497207066627, 793908497247240192, 793907802422902784]	793907802422902784
[793907291187798016, 793908247430189056, 793907734668275712]	793907291187798016
[793909394295644160, 793907154554068992, 793907664149413888, 793907323823587328, 793908131956805632, 793908128039505920]	793907664149413888
[793907692574273540, 793909446057525248, 793908603098951682, 793907415662075904, 793908224491675648, 793907709674487808, 793907836392706048, 793906934248247296, 793909547622600704, 793908189074956288, 793906985573949441, 793906979676778496]	793907415662075904
[793907514584797184, 793907971793227778, 793909414499610625, 793909170768646144, 793909263399841792, 793908860935348225]	793907971793227778
[793909106658648064, 793908963578351616, 793907884560158720, 793907637641510912]	793909106658648064
[793909244739235840, 793908204073840642]	793908204073840642
[793908234004430848, 793907020931993600, 793908563559256064, 793907518707728384]	793908234004430848
[793907625268244481, 793907028041359360]	793907625268244481
[793909432715468801, 793907031564574720]	793907031564574720
[793908319714938882, 793908116433829888, 793906944775950337]	793906944775950337
[793906893387223040, 793909483340701697, 793909257997578240, 793908623738957824, 793908552205205504, 793908110901608449, 793907899374276609, 793907062526840833, 793906984554733568, 793908426778648576, 793906975625076737]	793906893387223040
[793907753077047298, 793907244983283712, 793908681733705729, 793907437916958721, 793909196731322373, 793907632104955904, 793907976428019712, 793907540681687044]	793907244983283712
[793907241539682304, 793909500830945282, 793909114493607936, 793909294274084864, 793909259490689025]	793909259490689025
[793909187889664000, 793909174195220480, 793909016657268736, 793908811073523712, 793908618424786944, 793908542524751872, 793908537176899584, 793908503215738880, 793908481594130433, 793908434001334273, 793908428867510274, 793908280233955329, 793908262068424704, 793908221685661700, 793908177070764032, 793908143273181184, 793908140202987520, 793908124407197696, 793908092639399936, 793908086100680704, 793908059609374721, 793908039019618304, 793908033059450882, 793907979925983232, 793907951631089664, 793907937764749312, 793907864339353600, 793907840763265024, 793907802485833728, 793907794952916992, 793907790116978689, 793907761666981888, 793909525690531840, 793909517394186241, 793909367833788416, 793909358325297152, 793907752888332292, 793907725130289152, 793907709913350144, 793907687083966464, 793907489393606656, 793907328915562496, 793907277833052165, 793907209805631488, 793907629772906500, 793907602727895040, 793907583484620800, 793907499422351361, 793907184929079296, 793907129316872192, 793907120366174209, 793907105250045952, 793906968100474880, 793906952594034688, 793906890174504961, 793906883362832384, 793909492006125569, 793909437714968577, 793909410779267072, 793909390411755520, 793909341422137344, 793909281884147712, 793909265857527808, 793909210492772352, 793908772338946048, 793908648967831552, 793907075990503424, 793906992624476160, 793908726562447360, 793908386190491648]	793909187889664000
[793909254419808256, 793908168053104641]	793908168053104641
[793909243401437184, 793907663637712900]	793909243401437184
[793907987685474304, 793908986647023616, 793907760891035648]	793908986647023616
[793907157829902337, 793909303748988934, 793907313107144705]	793907157829902337
[793908768849399808, 793908685747650565]	793908768849399808
[793909562541744128, 793908456747048961]	793909562541744128
[793906891852242944, 793907063537672192, 793907627050885124, 793907354328784898, 793907243339149312, 793907088502169600, 793908229101195266, 793907825617596416, 793907808328712192, 793907722878148608, 793908845982670848, 793908780480200714, 793908602021052416, 793908233199087617, 793909402168360960, 793909116091633666, 793908967239999488, 793908956359974912, 793908774264303616, 793908938060230657, 793907252906356738]	793907063537672192
[793907479239417857, 793908446471024641, 793907567701422080]	793907567701422080
[793907934166183936, 793907564866068481, 793907499934031872]	793907499934031872
[793909138485026816, 793907521543086080, 793909300498432000, 793907245062971394]	793909138485026816
[793909358186860549, 793908643896954880]	793909358186860549
[793908270557782020, 793907876658118656, 793909242201837572, 793907823231004677, 793906996030345216, 793909243497836546, 793907628363522048, 793907789320032257, 793907779081830400, 793908189393784832, 793908220850946048, 793908569934626821, 793908871597350917, 793907437883375616, 793909141865631746, 793908079364571136, 793908660481167365, 793906950027214850, 793908893852307458, 793908328090968070, 793909250854625280, 793909192197308416, 793909101877202946, 793908859245043712, 793907867183185920, 793907814057984000, 793907803329093632, 793907728049696768, 793908178702503938, 793908133890580480, 793907943213240320, 793907868755976192, 793908353500143617, 793908290002518016, 793908204635877376, 793908202580615169, 793908815553069060, 793908451965558785, 793908442918449152, 793908405966630912, 793907680196911105, 793907593550897152, 793908685412016128, 793909431356358656, 793909134596788225, 793908461763489792, 793908205982216192]	793907593550897152
[793909360401510400, 793909088417497088, 793908750251851776]	793909088417497088
[793909386372648961, 793909339794718721, 793909313492353024, 793909244219170816, 793908159085772800, 793908092945698816, 793907792465854465, 793907763147460608, 793908866652061696, 793908828790226945, 793908757965119488, 793908755595337729, 793908656186286084, 793908642068238340, 793908622652624896, 793908592432873472, 793908550124855296, 793908497066823680, 793908483200524288, 793908421594640384, 793908416548728832, 793908405421240320, 793908384449826816, 793908317760327680, 793909482275340289, 793909402566729728, 793909394811551744, 793909394413092864, 793909546309877760, 793909529759088642, 793909502890369024, 793909487996309504, 793909060659605504, 793908984642031616, 793908959631515648, 793908923623276545, 793909564626214912, 793909555822460930, 793909139181211648, 793909094478479360, 793907233687904256, 793907425640345604, 793907244794462208, 793907103899475970, 793908543351037952, 793907704158883841, 793906939059200000, 793907504006791172, 793907091857637380, 793907084156952576, 793907071158804480, 793907749931352065, 793907713906450433, 793907696026193922, 793907616321773569, 793909087796887554, 793908424052449281, 793908107726426112, 793907860812029952, 793909386401964032, 793909346048610304, 793909278729969664, 793909153349664768, 793908693133881344, 793907704007888896]	793909386372648961
[793907030222376964, 793908215172005889, 793907153681715201]	793908215172005889
[793908606739578880, 793908244771172353]	793908244771172353
[793909215609913345, 793908192132595712]	793908192132595712
[793908563345367044, 793907067329212416, 793909251316080645, 793908803226001408, 793908593196236804, 793908561906728961, 793908194640793600, 793907629793939458, 793907604757958657, 793907341309730816, 793907905749774336, 793907709829640193, 793907405125976065]	793907067329212416
[793909198711054336, 793909335936077824, 793909076254138368]	793909076254138368
[793908163678461952, 793907032927518722, 793909482518700032, 793909213101694976]	793907032927518722
[793908643863400448, 793908956389314561, 793908448220024832]	793908643863400448
[793909353644486656, 793908941734412288, 793909474016759809, 793907584084443136]	793908941734412288
[793909128112508928, 793909319615922176, 793909229207842816, 793908853989634051, 793909010374205440, 793908960759803904, 793909127756021760, 793908507284234240]	793909128112508928
[793907084773523457, 793907819187695616, 793907478476062724, 793908851506552833, 793907983944212481]	793907084773523457
[793909413761454080, 793907334993022976, 793909203245076481, 793907419084718080]	793907419084718080
[793908546735841280, 793908570639241216, 793907237420994560, 793909361051598848, 793907864251367424, 793908718555586560, 793908649752141824]	793908570639241216
[793907660408102912, 793908612166975489, 793909496959688704, 793907848522629120, 793908933400215552, 793908207928369152, 793908071152189441]	793909496959688704
[793907537062100992, 793908112814182400, 793907605911564290, 793907246338084865, 793907476592746500, 793907207951843328]	793907537062100992
[793908852710334464, 793909057954480128, 793908035378962438, 793907405046353920, 793906977520947200, 793908338136416257, 793908790085255168, 793908588599250952, 793908736897249280, 793907963736027138, 793907134597566464]	793908338136416257
[793906969375567872, 793908693075124224, 793908516327227392]	793908693075124224
[793908555975983104, 793907806562816000, 793907120102109184, 793907221310603264, 793909557382770688, 793909309562314752, 793907685691392000, 793907476366299136, 793907442623152128, 793907367163355136, 793909249126653952, 793908708627587072, 793908195291004928, 793907721519128576, 793908441605603328, 793908706362753030, 793908551576121344, 793908927507431424, 793908642483429378, 793909214661976064, 793907185478762496]	793907221310603264
[793907397379158016, 793908947770085376, 793907873365499905, 793909415783063552, 793907380773916676, 793907313845346305, 793907092298067969, 793908458475098113, 793907020881596417, 793908632408748032, 793909462121734144, 793908870691291136, 793909547798781952, 793909246849118208, 793909163848003584, 793908981135802368, 793908957966430208, 793908944267776000, 793907381197496320, 793907409689411584, 793907270606262272, 793908563953451009, 793907595060928513, 793909359952719873, 793908933832347650, 793908710082945024, 793907890511896581]	793909547798781952
